candidate,step,time,kinetic_energy,enstrophy,dissipation,divergence_l2,divergence_max,max_cfl
reference_dns,0,0.0,0.12508125000000003,0.37638125,0.0075276250000000005,3.544459457694651e-16,2.1952052656601978e-15,0.005150710731044334
reference_dns,2,0.004,0.12505114315806193,0.37629001182621047,0.00752580023652421,4.197683353532263e-16,1.801208145356421e-15,0.005150297640147036
reference_dns,4,0.008,0.12502104356400068,0.37620005267265294,0.007524001053453059,3.9347114519098515e-16,1.6377602336436708e-15,0.005149866359944685
reference_dns,6,0.012,0.124990951115592,0.3761113701071248,0.007522227402142497,4.0188295355332026e-16,1.6792733109300885e-15,0.005149416905204811
reference_dns,8,0.016,0.1249608657108055,0.37602396171876196,0.007520479234375239,3.6717447900535407e-16,1.5504805621543762e-15,0.0051489492924266895
reference_dns,10,0.02,0.12493078724780268,0.3759378251179123,0.007518756502358246,4.1098930737770095e-16,2.1103297862908665e-15,0.005148463539834522
reference_dns,12,0.024,0.12490071562493549,0.37585295793600937,0.007517059158720188,3.782955735160208e-16,1.6419431837463618e-15,0.0051479596673704294
reference_dns,14,0.028,0.12487065074074438,0.3757693578254456,0.007515387156508913,3.9514043902498e-16,1.6555173728908987e-15,0.005147437696687247
reference_dns,16,0.032,0.1248405924939569,0.3756870224594455,0.0075137404491889105,4.502322490619888e-16,2.4353046977410427e-15,0.0051468976511411454
reference_dns,18,0.036000000000000004,0.12481054078348587,0.37560594953193904,0.007512118990638781,3.6515353098237956e-16,1.7051329272583132e-15,0.005146339555784058
reference_dns,20,0.04,0.12478049550842774,0.37552613675743407,0.007510522735148682,3.884112579062462e-16,1.740088723066958e-15,0.005145763437355928
baseline_robust_dns,0,0.0,0.11769375000000001,0.35421875,0.00850125,3.6576572552378905e-16,1.574354056858998e-15,0.004997922366444105
baseline_robust_dns,2,0.004,0.11765974996749456,0.3541154513858994,0.008498770833261586,3.9162556054860654e-16,1.5050647945501706e-15,0.004997394482008021
