candidate,model_kind,accepted_by_noharm,safe_choice,radius,baseline_radius,certificate_ratio,final_rel_l2_error,sensor_rmse_normalized,momentum_residual_normalized,divergence_l2,divergence_max,energy_budget_defect_normalized,high_k_energy_ratio,kinetic_energy_final,energy_error_percent,enstrophy_final,dissipation_final,max_cfl,wall_seconds,C_stab,sigma_min_observability,observability_condition_number,notes
baseline_robust_dns,robust conservative DNS baseline,True,learned_calibrated_dns,0.012842902533760464,0.012842902533760464,1.0,0.030224576665479466,0.03212604732815832,0.0006986029040347283,3.768596545568497e-16,1.697743787736721e-15,7.407368413266195e-05,6.592341000004691e-09,0.11735418034313067,-5.9515031856845715,0.35323692844178056,0.008477686282602735,0.004997922366444105,0.21352819300000192,0.2906351024052566,3.4407406115921164,3.3872991382448907,Conservative baseline: slightly dissipative and amplitude-biased but fully PDE-integrated.
learned_calibrated_dns,calibrated learned-parameter DNS,True,learned_calibrated_dns,0.007305633071110095,0.012842902533760464,0.5688459483287046,0.004998646874316926,0.013060190592897484,0.0007694251010809737,3.999794033604872e-16,1.8900552752667346e-15,5.328999027836147e-05,6.6410084522130604e-09,0.1260306162793131,1.0018559116884922,0.3792777552480391,0.007585555104960782,0.005176175460663138,0.2178929000001517,0.2906351024052566,3.4407406115921164,3.3872991382448907,Learned/calibrated candidate close to the reference physical parameters; fully PDE-integrated.
learned_aggressive_dns,aggressive learned extrapolation DNS,False,learned_calibrated_dns,0.0330891491166398,0.012842902533760464,2.5764541177243627,0.10036943134999794,0.10172314339715091,0.0009956492752720696,5.168542043928425e-16,2.45188813952955e-15,2.7699503815765725e-05,6.75422304992323e-09,0.1510765763878174,21.07387117853978,0.4544480482948625,0.006362272676128075,0.005660005428180579,0.2009740599999077,0.2906351024052566,3.4407406115921164,3.3872991382448907,Aggressive learned extrapolation: lower viscosity and higher initial energy; fully PDE-integrated but risky.
learned_sensor_overfit_field,"data-assisted field correction, not time-integrated DNS",False,learned_calibrated_dns,7.683141323221152,0.012842902533760464,598.2402578408022,0.05516780731954058,0.017747654424017975,91.42787171336629,3.823138449609689e-16,1.4681886973733702e-15,17.744351636599916,0.0015792185617089485,0.11762029193124432,-5.738239416351583,0.3621585393758609,0.008691804945020662,0.005093346588836367,0.0,0.2906351024052566,3.4407406115921164,3.3872991382448907,Risky high-wavenumber sensor-fitting field; useful as a no-harm stress test.
