dataset,obs_fraction,noise_fraction,cases,physics_necessary_rate,physics_unnecessary_rate,physics_rejected_rate,mean_physics_gain,mean_data_only_error,mean_physics_error
kdv,0.03,0.01,5,1.0,0.0,0.0,0.008026419392650079,0.06201426950770158,0.05398785011505151
kdv,0.03,0.03,5,1.0,0.0,0.0,0.00710242731400849,0.05877659870792442,0.05167417139391593
kdv,0.03,0.05,5,1.0,0.0,0.0,0.009089451788891232,0.06438689451595822,0.05529744272706699
kdv,0.05,0.0,5,0.8,0.0,0.0,0.0033274332894521206,0.03206527184139969,0.02873783855194757
kdv,0.05,0.01,5,0.6,0.2,0.0,0.003011909935342985,0.031154972218535092,0.028143062283192112
kdv,0.05,0.03,5,1.0,0.0,0.0,0.007883088358186513,0.04323704868832455,0.03535396033013804
kdv,0.05,0.05,5,1.0,0.0,0.0,0.00892490705004924,0.049842421807412975,0.04091751475736373
kdv,0.1,0.0,5,0.6,0.0,0.2,0.0025028701956939237,0.018966370672754758,0.016463500477060834
kdv,0.1,0.01,5,1.0,0.0,0.0,0.0030650417400741076,0.018690641329346717,0.01562559958927261
kdv,0.1,0.03,5,1.0,0.0,0.0,0.008210817938728177,0.02554066715400417,0.017329849215275993
kdv,0.1,0.05,5,1.0,0.0,0.0,0.013719610658237671,0.039588785926524296,0.025869175268286627
kdv,0.2,0.0,5,0.4,0.4,0.0,8.698701692497523e-05,0.0037181789566555754,0.0036311919397306004
kdv,0.2,0.01,5,1.0,0.0,0.0,0.0032703552522871495,0.009402826539979682,0.0061324712876925334
kdv,0.2,0.03,5,1.0,0.0,0.0,0.012415512340734467,0.024806657481013437,0.01239114514027897
kdv,0.2,0.05,5,1.0,0.0,0.0,0.02135949672974789,0.04130819719297375,0.019948700463225864
ks,0.03,0.0,5,1.0,0.0,0.0,0.0077934104161991495,0.04382818152520831,0.03603477110900916
ks,0.03,0.01,5,0.8,0.0,0.2,0.0028351419306239154,0.026214919219706867,0.02337977728908295
ks,0.03,0.03,5,1.0,0.0,0.0,0.004041613595462183,0.034463341223911426,0.03042172762844924
ks,0.03,0.05,5,1.0,0.0,0.0,0.005876134643815753,0.04322251701022113,0.037346382366405376
