dataset,dataset_title,equation,trial,obs_fraction,noise_fraction,candidate,candidate_family,accepted_by_noharm,chosen_safe_output,certificate_rank,radius,baseline_radius,certificate_ratio,hidden_rel_error,baseline_hidden_rel_error,hidden_error_ratio,data_residual,pde_residual,bc_residual,ic_residual,spectral_residual,noise_bound,physics_gain_over_data_only,data_only_hidden_error,physics_candidate_hidden_error,physics_necessary,physics_unnecessary,physics_rejected,unsafe_if_selected,notes
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",1,0.03,0.0,baseline_linear,baseline,True,physics_filtered_s0.8,6,1816073367.817434,1816073367.817434,1.0,0.1435420721009602,0.1435420721009602,0.9999999999930334,0.0,4.005707534664422,36321467344.2255,0.10105042961228189,0.005006202189667667,0.0,0.009112742479801261,0.14364758670953454,0.13453484422973327,True,False,False,False,old inverse baseline: interpolation from sparse/noisy observations
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",1,0.03,0.0,data_only_lowrank,data_only,True,physics_filtered_s0.8,5,1793461853.3947756,1816073367.817434,0.987549228559068,0.14364758670953454,0.1435420721009602,1.0007350779184752,0.0,4.00641229290461,35869237055.770294,0.10097807554953403,0.004997465913360341,0.0,0.009112742479801261,0.14364758670953454,0.13453484422973327,True,False,False,False,data-driven candidate without PDE residual selection
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",1,0.03,0.0,risky_sensor_overfit,risky,False,physics_filtered_s0.8,8,6893312840.877935,1816073367.817434,3.795723764818132,0.24666965120184414,0.1435420721009602,1.718448449222823,0.0,9.206578988978862,137866256789.73657,0.16039829248693982,0.04200846754689519,0.0,0.009112742479801261,0.14364758670953454,0.13453484422973327,True,False,False,False,fits observed points but injects high-frequency nonphysical structure
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",1,0.03,0.0,underfit_oversmooth,underfit,False,physics_filtered_s0.8,7,1862361197.3959649,1816073367.817434,1.025487863210152,0.1444724921457354,0.1435420721009602,1.0064818629837968,0.07251958731229621,0.960396988175582,37247223943.525246,0.06081352123987586,0.001649152510974914,0.0,0.009112742479801261,0.14364758670953454,0.13453484422973327,True,False,False,False,oversmoothed challenge candidate; shown for diagnosis but not eligible for safe replacement
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",1,0.03,0.0,physics_filtered_s0.4,physics_informed,False,physics_filtered_s0.8,4,1782652320.7442145,1816073367.817434,0.9815970832095924,0.1418246081948416,0.1435420721009602,0.9880351183317274,0.0006140682315304337,3.6927753908130945,35653046403.69162,0.0975091777685473,0.004552164182255878,0.0,0.009112742479801261,0.14364758670953454,0.13453484422973327,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",1,0.03,0.0,physics_filtered_s0.8,physics_informed,True,physics_filtered_s0.8,1,1739775678.4507747,1816073367.817434,0.9579875512087078,0.13453484422973327,0.1435420721009602,0.9372502588242633,0.005724010066688618,2.1679222422774584,34795513562.31378,0.0807401154545655,0.0027244925763069906,0.0,0.009112742479801261,0.14364758670953454,0.13453484422973327,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",1,0.03,0.0,physics_filtered_s1.3,physics_informed,True,physics_filtered_s0.8,2,1741450003.5408413,1816073367.817434,0.9589094991430465,0.13275054820049978,0.1435420721009602,0.9248197845869535,0.01246838682171437,1.5655296558759362,34829000065.797195,0.07158054139004076,0.0020921930531321077,0.0,0.009112742479801261,0.14364758670953454,0.13453484422973327,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",1,0.03,0.0,physics_filtered_s2,physics_informed,False,physics_filtered_s0.8,3,1773713869.3408453,1816073367.817434,0.9766752273188739,0.1352006546159619,0.1435420721009602,0.9418886925355705,0.026911393022097423,1.2357402461752736,35474277382.504715,0.06491418666915075,0.0018301469258975357,0.0,0.009112742479801261,0.14364758670953454,0.13453484422973327,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",2,0.03,0.0,baseline_linear,baseline,True,physics_filtered_s1.3,7,1975168319.9972045,1975168319.9972045,1.0,0.14714260830036277,0.14714260830036277,0.9999999999932039,0.0,2.774938209782004,39503366391.46788,0.1481715358035807,0.0032256689365124124,0.0,0.012035275000748968,0.14715285011979676,0.1351175751190478,True,False,False,False,old inverse baseline: interpolation from sparse/noisy observations
burgers,Burgers shock,"u_t + u u_x - nu u_xx = 0, nu=0.01/pi",2,0.03,0.0,data_only_lowrank,data_only,True,physics_filtered_s1.3,6,1927006704.4423692,1975168319.9972045,0.9756164499667028,0.14715285011979676,0.14714260830036277,1.0000696047090114,0.0,2.7744953418128078,38540134080.372505,0.14817335622351505,0.0032196073021300516,0.0,0.012035275000748968,0.14715285011979676,0.1351175751190478,True,False,False,False,data-driven candidate without PDE residual selection
