candidate,candidate_family,rows,accept_rate,mean_hidden_error,median_radius,median_certificate_ratio,mean_data_residual,mean_pde_residual,unsafe_if_selected_rate
baseline_linear,baseline,400,1.0,0.04756454824875005,398.29727916132026,0.9999999999999974,0.0,1302.176082552113,0.0
data_only_lowrank,data_only,400,0.5475,0.04833937205254133,485.45816294825977,0.9979699360722335,0.0,1754.394133039271,0.0575
physics_filtered_s0.4,physics_informed,400,0.0,0.04732483409020967,448.74662424273015,0.958391554083717,0.00035515039702850587,1623.6284916565864,0.0
physics_filtered_s0.8,physics_informed,400,0.9575,0.04358335148123031,294.90760517209526,0.8026771443095009,0.0030135842442248757,1078.7030860945076,0.0025
physics_filtered_s1.3,physics_informed,400,0.9175,0.04290991268981603,252.91977191810145,0.7012435617690298,0.005869612152610691,842.4446103483277,0.08
physics_filtered_s2,physics_informed,400,0.0,0.04517907832152427,255.178846650583,0.6476119454293736,0.011681502664445467,736.7453267603332,0.0
risky_sensor_overfit,risky,400,0.0,0.20704317421069585,16249.885286156969,8.91857921208762,0.0,37470.22265173067,0.0
underfit_oversmooth,underfit,400,0.0,0.05346887531435653,176.37614172215325,0.5650022087093864,0.03113511322552463,492.57502506972276,0.0
