dataset,dataset_title,cases,safe_output_mean_error,baseline_mean_error,mean_hidden_error_ratio,median_certificate_ratio,physics_necessary_rate,physics_rejected_rate,unsafe_safe_output_rate,mean_safe_gain_percent
allen_cahn,Allen-Cahn,80,0.031203468480654924,0.03643536938449506,0.8655527644915585,0.4957193830788098,0.775,0.0,0.0625,13.44472355084415
burgers,Burgers shock,80,0.09749599997697213,0.10011161913842911,0.9805155753293645,0.9101479905717609,0.325,0.0875,0.05,1.9484424670635492
kdv,Korteweg-de Vries,80,0.028729584551560793,0.03534925022179124,0.7940498444834351,0.6955379097064931,0.9,0.0125,0.0,20.59501555165649
ks,Kuramoto-Sivashinsky,80,0.01907320176155148,0.02426796692416017,0.7977389275770048,0.8582075746351998,0.875,0.1125,0.0,20.22610724229952
nls,Nonlinear Schrodinger,80,0.03770063015935397,0.04165853557487467,0.9130894209882128,0.4849225385547051,0.55,0.0,0.1875,8.691057901178723
