candidate,step,time,kinetic_energy,enstrophy,dissipation,divergence_l2,divergence_max,max_cfl
reference_dns,0,0.0,0.12508125,0.3763812499999999,0.007527624999999998,7.733976434102406e-16,3.3193253995797267e-15,0.005794549572424874
reference_dns,5,0.0075,0.1250248056203855,0.37621122771053134,0.0075242245542106265,8.323081794542515e-16,3.8977450734907284e-15,0.0057936609370718714
reference_dns,10,0.015,0.1249683864072323,0.37604569451965414,0.007520913890393083,8.782642190043657e-16,3.97916489456664e-15,0.005792700390482729
reference_dns,15,0.0225,0.12491199168836753,0.3758846345786783,0.007517692691573567,9.068348476375838e-16,4.480363589095754e-15,0.005791668032229486
reference_dns,20,0.03,0.12485562079397602,0.3757280322999334,0.007514560645998669,8.273217435292505e-16,3.663692096097916e-15,0.005790563990569825
reference_dns,25,0.0375,0.12479927305656136,0.3755758723538478,0.007511517447076957,8.578916444586876e-16,3.958405479725541e-15,0.005789388422257078
reference_dns,30,0.045,0.12474294781090738,0.37542813966603106,0.007508562793320622,8.104773519093152e-16,3.929016936288882e-15,0.00578814151232569
reference_dns,35,0.0525,0.12468664439404015,0.37528481941435593,0.007505696388287119,8.344776153256624e-16,4.0725834291179294e-15,0.005786823473852607
reference_dns,40,0.06,0.12463036214519031,0.3751458970260436,0.0075029179405208726,8.401125088737168e-16,3.630601647991268e-15,0.005785434547694983
reference_dns,45,0.0675,0.12457410040575591,0.3750113581747488,0.007500227163494976,7.935940054451258e-16,3.493972315806622e-15,0.005783975002204713
reference_dns,50,0.075,0.12451785851926561,0.3748811887776463,0.007497623775552927,8.14994847663871e-16,4.964663992737249e-15,0.005782445132920255
reference_dns,53,0.0795,0.12448412264447774,0.3748051787091126,0.007496103574182253,8.392900645795903e-16,4.0506241289538036e-15,0.005781493588937734
baseline_robust_dns,0,0.0,0.11769374999999996,0.35421874999999986,0.008501249999999997,8.131653423820243e-16,4.5889765423375366e-15,0.0056226626622496185
baseline_robust_dns,5,0.0075,0.11763000803251361,0.3540260034924457,0.008496624083818696,8.309393868083343e-16,4.199153822747819e-15,0.00562153318474448
baseline_robust_dns,10,0.015,0.1175663003979446,0.35383727029428896,0.008492094487062936,7.748803286239213e-16,3.309304842288198e-15,0.005620337386653765
baseline_robust_dns,15,0.0225,0.11750262637542723,0.35365253344476716,0.008487660802674412,7.798752018028688e-16,3.769204365996685e-15,0.0056190754028302035
baseline_robust_dns,20,0.03,0.11743898524712763,0.35347177621738596,0.008483322629217263,8.217794751408433e-16,5.1221308560039865e-15,0.005617747392995947
baseline_robust_dns,25,0.0375,0.11737537629820181,0.3532949821169653,0.008479079570807168,8.425718903936041e-16,3.8004152764171164e-15,0.00561635354152776
baseline_robust_dns,30,0.045,0.11731179881675435,0.35312213487669525,0.008474931237040685,8.196711066582659e-16,4.70496986731034e-15,0.005614894057222595
baseline_robust_dns,35,0.0525,0.11724825209379752,0.3529532184552013,0.008470877242924831,8.529061213359223e-16,4.15869962182373e-15,0.005613369173043918
baseline_robust_dns,40,0.06,0.11718473542321094,0.3527882170336185,0.008466917208806844,8.59126193064764e-16,3.941505199031219e-15,0.005611779145849294
baseline_robust_dns,45,0.0675,0.11712124810170181,0.35262711501267646,0.008463050760304236,8.377799139047446e-16,3.9555073411078936e-15,0.005610124256099633
baseline_robust_dns,50,0.075,0.11705778942876571,0.3524698970097916,0.008459277528234999,8.286723246828871e-16,4.142184160822547e-15,0.005608404807550592
baseline_robust_dns,53,0.0795,0.11701972768593986,0.3523774242177021,0.00845705818122485,8.110478917592867e-16,3.4325720008446654e-15,0.005607342285169503
learned_calibrated_dns,0,0.0,0.12633437499999994,0.38014062499999973,0.007602812499999995,8.209485024016535e-16,4.282961090659635e-15,0.00582319739324603
learned_calibrated_dns,5,0.0075,0.1262773668387771,0.37996895572377565,0.007599379114475513,8.819043966958211e-16,4.076387787404151e-15,0.005822304429596425
learned_calibrated_dns,10,0.015,0.1262203840843657,0.37980186479872485,0.0075960372959744974,9.317600453087126e-16,4.0877223890613514e-15,0.005821338579372196
learned_calibrated_dns,15,0.0225,0.1261634260512284,0.37963933606470013,0.007592786721294003,8.438642323122822e-16,5.05309894606456e-15,0.0058202999434283555
