candidate,step,time,kinetic_energy,enstrophy,dissipation,divergence_l2,divergence_max,max_cfl
reference_dns,0,0.0,0.12508125000000003,0.3763812500000001,0.007527625000000002,3.8590613702740797e-16,1.5269134179459328e-15,0.005150710731044334
reference_dns,2,0.004,0.12505114315806193,0.3762900118262105,0.007525800236524211,3.982888419518279e-16,1.7297662020452812e-15,0.005150297640147035
reference_dns,4,0.008,0.12502104356400068,0.376200052672653,0.00752400105345306,4.192902953196703e-16,1.661604822812918e-15,0.005149866359944685
reference_dns,6,0.012,0.124990951115592,0.3761113701071249,0.007522227402142498,3.8566241882860777e-16,1.9108839674904048e-15,0.005149416905204812
reference_dns,8,0.016,0.12496086571080547,0.37602396171876207,0.0075204792343752415,4.1876657963714333e-16,2.11442071682208e-15,0.0051489492924266895
reference_dns,10,0.02,0.12493078724780268,0.37593782511791235,0.007518756502358248,3.9260272760531447e-16,1.7535994697395519e-15,0.005148463539834522
reference_dns,12,0.024,0.12490071562493549,0.37585295793600937,0.007517059158720188,4.220871121134702e-16,1.9216891451287717e-15,0.005147959667370431
reference_dns,14,0.028,0.1248706507407444,0.3757693578254456,0.007515387156508913,4.045645457592974e-16,1.5363986092605685e-15,0.0051474376966872465
reference_dns,16,0.032,0.1248405924939569,0.37568702245944563,0.007513740449188913,4.1662336637425312e-16,1.6413303182515883e-15,0.0051468976511411454
reference_dns,18,0.036000000000000004,0.12481054078348588,0.37560594953193904,0.007512118990638781,3.736536930609529e-16,1.5711485016595324e-15,0.005146339555784058
reference_dns,20,0.04,0.12478049550842775,0.3755261367574342,0.007510522735148684,4.387216595395855e-16,1.8236999552210412e-15,0.005145763437355928
baseline_robust_dns,0,0.0,0.11769375000000004,0.35421875000000025,0.008501250000000005,3.9886632517740193e-16,1.5011099962446106e-15,0.004997922366444105
baseline_robust_dns,2,0.004,0.11765974996749459,0.3541154513858995,0.008498770833261587,4.044330453370752e-16,2.2711045312380148e-15,0.004997394482008021
baseline_robust_dns,4,0.008,0.11762575979673143,0.3540132966019165,0.008496319118445997,4.065633789959566e-16,1.8901644193079465e-15,0.004996849816858554
baseline_robust_dns,6,0.012,0.11759177937802764,0.353912283049989,0.008493894793199737,3.872636433002152e-16,2.0990850014315444e-15,0.004996288390529084
baseline_robust_dns,8,0.016,0.11755780860194895,0.3538124081512326,0.008491497795629582,3.837748067641589e-16,1.803620869012608e-15,0.004995710224047348
